Number of Articles,Number of Founders,Number of Funding Rounds,Total Funding Amount,Number of Investors,Number of Acquisitions,Number of Lead Investors,Successful Exit (True/False)
32,4,,,,,,0
4,1,1,2482728,,,,0
,,,,,,,0
,,,,,,,1
,1,,,,,,0
20,,4,17800000,1,,1,1
1,,,,,,,0
,,1,3450000,1,,1,0
140,1,,,,,,0
2,2,1,2000000,2,,1,0
,,,,,,,0
,,,,,,,0
,,1,,1,,,0
,,,,,,,0
4,1,1,5000000,1,,1,0
,,,,,,,1
5,,,,,1,,0
,,,,,,,0
1,,,,,,,0
,1,,,,,,0
,,1,187500,,,,0
1,2,,,,,,0
19,,,,,,,1
,1,,,,,,0
,,,,,,,0
4,,,,,,,1
1,,,,,,,0
,,,,,,,0
,,,,,,,0
1,,,,,,,1
,,,,,2,,0
,,,,,,,1
,2,,,,,,0
32,,,,,,,0
,,,,,,,0
,,,,,,,1
,,,,,,,1
,1,,,,,,0
2,,,,,,,0
2,4,,,,,,0
3,1,,,,,,0
,,,,,,,0
,1,,,,,,1
1,,,,,,,0
,,,,,,,0
,,,,,,,1
,,,,,,,1
,,,,,,,0
14,1,,,,,,0
,1,5,8260298,2,,,0
,,,,,,,0
65,1,,,,,,0
,,2,20000,1,,,0
,,2,550000,1,,,0
,,,,,,,0
,,,,,1,,0
9,,,,,,,0
,,,,,,,0
,1,,,,,,1
16,,,,,,,0
3,1,1,2000000,,1,,0
10,2,,,,,,0
,1,,,,,,0
105,2,,,,2,,0
,,,,,,,0
2,,,,,,,1
3,1,,,,1,,1
20,2,4,89466000,9,,2,0
,,2,,1,,,0
1,,,,,,,0
1,1,2,4000000,2,3,2,1
,1,1,,,,,0
,,,,,,,0
,,,,,,,1
,,,,,,,0
1,,,,,,,0
7,1,4,8250000,2,,,1
1,,,,,,,0
1,1,,,,,,0
31,1,5,106800000,9,,2,1
,1,2,1711000,,,,0
,,,,,,,1
9,,,,,2,,0
,1,2,21700000,3,,2,0
218,1,,,,,,1
4,2,1,4525005,3,,1,0
,1,1,50000,,,,1
7,,,,,,,0
1,,,,,,,0
226,,,,,,,0
3,1,4,2000000,1,,1,1
,,,,,,,1
,,,,,,,0
,,,,,,,0
3,,,,,,,0
,2,,,,,,0
,,,,,,,0
1,1,,,,,,1
25,1,,,,,,0
,,1,150000,1,,,0
2,,,,,,,0
,,,,,,,0
3,,,,,,,0
285,,,,,,,0
9,1,2,1390000,2,,,1
,1,,,,,,0
,,,,,,,0
,,,,,,,0
1,,,,,,,0
1,,,,,,,0
10,2,,,,,,0
9,1,,,,,,1
9,,,,,,,1
24,1,2,2600000,6,,1,1
1,,,,,1,,0
,,,,,,,0
,1,,,,,,0
,,,,,1,,0
,1,1,,1,,,0
4,2,1,,2,,,0
,,,,,,,0
,,,,,,,0
,,,,,,,0
,,,,,,,1
,,,,,,,1
8,,,,,,,0
68,,,,,,,1
3,,1,,1,,,1
,2,2,250000,1,,1,1
7,,,,,,,0
,,,,,,,0
,2,,,,2,,0
101,1,,,,1,,0
,,,,,,,1
,,,,,,,0
,,,,,,,0
149,1,,,,,,0
3,,,,,,,0
399,1,,,,,,0
16,1,1,300000,,,,1
,,,,,,,0
,,,,,,,0
,,,,,,,0
,,,,,,,1
,,,,,2,,0
,,,,,,,0
4,1,,,,1,,0
,,1,400000,1,,,0
,,,,,,,0
,,,,,,,0
,2,,,,,,1
,,,,,,,1
,,,,,,,0
2,,,,,,,0
1,,,,,,,0
30,4,3,10500000,1,,,1
8,2,3,4016000,1,,,0
,,,,,,,0
,,,,,,,0
,,3,29000000,2,,2,0
148,1,,,,2,,1
,,,,,,,0
2,,,,,,,0
1,4,,,,,,0
18,,,,,,,0
,,,,,,,0
,,,,,1,,1
,,,,,,,0
1,1,,,,,,0
,,,,,,,0
,,,,,,,0
,,,,,,,0
16,2,,,,,,0
14,1,2,20000,1,,,0
,,,,,,,0
,1,1,6440000,2,,,0
,,1,,1,,,0
,,2,383000,,1,,1
1,1,,,,,,0
10,1,2,9400000,1,,,1
5,,,,,,,0
,,,,,,,0
,,,,,,,1
1,,,,,,,0
4,,1,15500000,3,,,0
,,,,,,,0
1,1,,,,,,0
1,,,,,,,0
,,,,,,,0
,2,1,4000022,,,,0
,1,4,4506975,3,,,1
11,2,,,,,,1
28,,,,,,,0
70,3,,,,,,0
,,,,,,,0
,,,,,,,1
157,1,7,75962000,7,1,5,0
,3,1,100000,,,,0
,,,,,,,0
,1,,,,,,1
,,,,,1,,0
8,,,,,,,0
7,1,5,2142981,3,,,0
3,,,,,,,0
1,,,,,,,1
,,,,,,,1
,,,,,,,0
14,,,,,,,0
,,,,,3,,0
,,,,,,,0
,,,,,,,0
21,,,,,,,1
9,,,,,,,0
,,,,,,,1
,,,,,,,1
,,,,,,,0
2,,,,,,,0
2,,,,,,,0
,2,,,,,,0
,,,,,,,0
2,2,,,,,,0
,,8,44702884,,,,1
,,,,,,,0
,,1,10000000,1,,1,0
1,,,,,1,,1
,,,,,,,0
,,,,,,,1
,,,,,,,0
1471,1,,,,,,0
,1,1,1200000,1,,,0
,,,,,,,0
,,,,,,,0
1,,,,,,,0
1,,,,,,,0
,,,,,,,0
1,,,,,,,0
,,,,,,,0
32,2,,,,,,1
,,,,,,,0
,1,,,,,,0
,,,,,,,0
,,,,,,,1
40,1,,,,,,0
2,3,1,45844743,,2,,1
27,1,,,,,,1
4,1,,,,,,0
,,,,,,,1
123,3,6,12645126,6,,3,1
28,2,3,11688287,1,,1,1
,,,,,,,0
8,,,,,,,0
,,,,,,,0
,,,,,,,1
,,,,,,,1
176,,,,,5,,0
1,,,,,,,0
,,,,,,,0
,1,,,,,,0
,,,,,,,1
8,1,,,,,,0
10,1,,,,,,0
,,,,,,,0
4,,,,,,,0
,,,,,,,0
,,,,,,,0
,,,,,,,1
,,,,,,,1
25,,,,,,,1
,,1,,1,,,1
,1,,,,,,0
35,1,3,46298276,1,1,1,1
,,,,,,,0
,,,,,1,,0
7,1,1,2300000,1,,1,1
8,1,,,,,,1
,,,,,,,0
,,1,1100000,,,,1
2,2,,,,,,1
,,,,,,,0
,,,,,,,1
,,,,,,,0
,,1,,1,,,0
2,,,,,,,0
,,,,,,,0
2,3,,,,,,1
6,2,1,3300000,,,,1
6,1,1,,3,,1,0
,1,1,3400000,,,,0
,,,,,,,1
7,1,1,3000000,2,,2,0
,1,2,2500000,,,,0
71,1,,,,,,0
2,1,1,,1,,,0
1,,1,16700000,4,,,0
,,,,,,,0
19,1,2,2000000,2,,,1
3,,,,,,,0
,,,,,1,,1
,,,,,,,1
2,2,,,,,,0
25,,,,,,,1
6,1,,,,,,0
,,,,,1,,0
2,,,,,,,0
2,,2,6600000,5,,,0
,3,4,4898097,1,,1,0
,,,,,,,1
16,1,,,,,,1
,3,,,,,,0
19,2,,,,,,0
,1,,,,,,0
,,,,,,,0
,,,,,,,1
,,,,,,,1
,,,,,,,0
,,,,,,,0
,,,,,,,1
,,,,,,,0
,1,,,,,,0
1,2,1,,1,,,0
15,,,,,,,0
1,,,,,,,1
1,2,,,,,,0
,2,,,,,,0
73,1,,,,1,,0
,,,,,,,0
,,,,,,,0
,,,,,,,0
,,,,,,,0
2,2,1,500000,,,,0
1,,,,,,,1
87,2,7,70586429,16,,1,1
4,1,,,,,,1
67,1,3,33000000,3,,2,1
4,,,,,,,0
1,2,1,,1,,,0
,,,,,1,,1
7,,,,,,,0
2,,,,,,,0
,,,,,,,0
1,,,,,1,,0
,1,,,,,,1
,1,1,1200000,,,,0
41,,,,,,,0
37,1,7,13525206,9,1,,1
22,,,,,13,,1
3,1,,,,,,0
,2,,,,,,0
,,,,,,,0
,,1,11750000,3,2,1,1
,,,,,,,0
,,,,,,,1
,,,,,,,0
1,,,,,,,0
,,,,,,,1
,1,,,,,,0
,,,,,,,0
,,,,,,,0
,,,,,,,0
,,,,,,,0
,,,,,,,0
25,4,2,14020000,3,,2,1
9,,,,,,,1
10,1,4,4914999,3,,2,1
,,,,,,,0
,,,,,,,0
,,,,,,,0
48,1,5,299320000,2,,1,1
,,,,,,,1
5,2,2,225000,2,,,0
,,,,,,,0
39,,,,,,,0
176,1,7,16390185,9,1,,0
12,,1,212000,1,,1,1
,,,,,,,0
9,2,5,9349999,1,,1,0
1,1,1,,1,,,0
109,2,4,42100000,4,,2,1
1,,,,,,,0
,,,,,,,1
233,1,9,182250017,24,,7,1
2,,,,,,,0
,,1,,1,,,0
3,1,,,,,,0
,,1,400000,,,,0
,3,,,,,,0
11,2,,,,,,0
1,2,,,,,,0
1,,,,,,,0
,1,,,,,,0
5,,,,,,,0
58,,,,,,,0
11,3,,,,2,,0
20,4,5,7500000,6,1,1,0
,,,,,,,0
,,1,2499985,,,,0
2,,,,,2,,1
,,,,,,,1
1,1,2,1160000,8,,,0
,1,,,,,,0
1,1,1,,2,1,,0
,,,,,,,1
1,,,,,,,0
1,,,,,2,,0
,1,,,,,,1
3,,,,,1,,1
,,,,,,,0
,2,,,,,,0
,,,,,,,1
,,,,,,,1
,,,,,,,1
,,,,,,,0
,,,,,,,0
4,1,,,,,,0
,,,,,,,0
,2,2,2000000,1,,,0
3,1,,,,,,0
,,,,,,,0
1,2,,,,,,1
8,,1,3200000,3,,,1
,,,,,,,0
,,,,,,,1
3,,,,,,,0
61,1,5,204300000,8,,4,0
17,,,,,,,1
1,2,,,,,,0
2,,,,,,,0
1,1,2,210000,,,,0
,,,,,,,0
,,,,,,,0
111,2,4,64700000,6,,5,1
,,,,,,,0
1,1,,,,,,0
3,1,,,,,,1
,,,,,,,0
3,,1,9000000,1,,1,0
,,,,,,,0
15,,,,,,,0
,,,,,,,0
1,,,,,,,0
77,1,,,,,,0
2,1,,,,,,0
,,,,,,,1
,,,,,,,0
1,,,,,,,1
,,,,,,,1
,3,,,,,,0
1,,1,42000,,,,0
1,,1,75000000,1,,1,0
1,,,,,,,0
,,,,,,,0
,,,,,,,1
,1,2,4100000,1,5,,1
,,,,,,,1
,,1,16500000,1,,1,1
,,,,,,,0
,,,,,,,0
5,,,,,,,0
6,,,,,,,0
400,1,6,2011000000,14,1,4,1
,1,1,,1,1,,0
31,,,,,1,,1
3,,,,,,,0
,2,,,,,,0
6,,,,,,,0
3,2,,,,,,0
,1,,,,,,0
,,,,,,,0
1,,,,,1,,0
,1,1,900000,,,,0
,,,,,1,,0
,,,,,,,1
3,,,,,,,0
180,2,13,123586989,35,4,6,1
,,,,,,,0
1,,,,,,,0
,1,,,,,,0
2,,,,,,,0
,,,,,,,0
49,1,8,319641726,7,,1,1
1,,1,50000,,,,0
,1,,,,,,0
,,,,,,,1
,,,,,,,0
2,,,,,,,0
3,1,,,,,,1
99,2,,,,,,0
7,1,,,,,,1
2,,,,,,,0
,,,,,,,0
,,1,2430000,1,,1,1
,,,,,,,0
,1,,,,,,0
4,,,,,,,1
,1,,,,,,0
14,1,5,5926121,2,,1,0
,,,,,,,0
1,,,,,,,0
853,,,,,36,,1
,,,,,,,1
313,3,4,12000000,1,,1,1
263,1,8,160619658,8,,3,1
1,,,,,,,0
55,1,,,,6,,0
,,1,,1,,,0
17504,4,9,928225039,11,10,6,1
,,1,100000,,,,0
2,,,,,,,1
,,,,,,,0
2,1,1,,1,,1,1
,,,,,,,1
1,,,,,,,0
,,,,,,,0
7,1,1,100000,,,,1
,2,1,120000,1,,,0
,,,,,,,0
1,1,,,,,,1
,,,,,,,0
1,,,,,,,0
,,,,,,,1
,,,,,,,1
,1,,,,,,0
,,,,,,,0
,,1,5000000,,,,0
,2,,,,,,0
,1,,,,,,0
,1,1,50000,1,,,0
1,,,,,,,0
,,,,,,,0
1,,,,,1,,0
,1,1,1500000,3,,,0
12,1,2,22590000,3,,2,0
,,5,12140027,2,,1,0
10,2,,,,6,,0
,,,,,,,1
,,,,,,,0
,2,1,,1,,1,0
,,,,,,,0
,1,2,8000000,2,,,0
,,,,,,,0
1,,,,,,,0
1,,,,,,,1
1,,,,,,,0
2,1,2,27000000,3,,2,0
,2,,,,,,0
,,,,,,,1
1,2,1,25000000,2,,,1
2,1,2,,2,,1,1
1,,,,,,,1
864,1,7,215750000,17,1,4,0
,,,,,,,1
187,1,2,18000000,3,,,1
34,,1,4000000,2,,,0
,,,,,,,0
,,,,,,,0
,,,,,,,0
,,1,100000,3,,,0
,,2,766000,1,,,0
27,2,1,,1,1,,1
1,,,,,,,0
15,2,2,59767166,1,,1,0
,,,,,,,1
,,,,,,,1
,,,,,,,0
,,,,,,,1
1,,,,,,,1
9,3,1,12000000,1,,1,1
,,,,,,,0
13,,,,,,,0
,1,,,,,,0
,,,,,,,0
1,,,,,1,,0
,,,,,,,0
3,,,,,,,0
3,,,,,,,0
1,,,,,,,0
,,,,,,,0
,1,3,500000,2,,,0
,,,,,,,0
321,,,,,2,,1
23,1,4,43200001,5,,3,1
,,,,,,,0
,,,,,,,0
,,,,,,,0
35,3,5,67250000,7,2,1,0
,1,,,,,,0
1,,,,,,,1
6,,,,,,,1
,,,,,,,0
2,,1,,1,,,1
149,2,6,96000000,3,3,2,1
1,1,,,,,,1
,1,,,,,,0
1,1,1,240000000,1,,1,0
64,1,8,119150000,12,,2,1
22,2,,,,,,0
,1,,,,,,0
34,1,5,41290000,5,2,4,1
1,,1,,1,,,0
1,,,,,,,0
,,,,,,,0
101,,1,3400000,,,,0
,,,,,,,0
,,,,,,,0
15,1,,,,,,0
,,,,,,,0
,,,,,,,1
,,,,,1,,0
,1,,,,,,0
27,2,3,11000000,3,,1,1
1,,,,,,,0
,,2,42500000,2,,2,0
,1,,,,,,0
,1,,,,,,0
2,,,,,,,0
,,,,,,,0
,2,,,,,,0
,,,,,,,0
,,,,,,,0
,,,,,,,0
1,,,,,,,0
,,,,,,,0
1,,,,,1,,0
31,,,,,,,0
,,,,,,,1
,,,,,,,1
3,1,1,3000000,,,,0
1,,,,,,,0
,,,,,,,0
,,,,,,,0
130,1,3,40500000,2,4,1,1
15,2,5,25750000,6,,2,1
1,,,,,,,0
1,,,,,,,1
,1,,,,,,0
,,,,,,,1
,,,,,1,,0
,1,5,4685800,2,,1,0
,,1,8000000,,,,0
1,,1,,,,,0
14,,,,,,,0
5,2,1,4300000,1,,1,0
,,,,,,,1
,,,,,,,1
,,,,,,,0
138,2,3,38000000,3,,3,1
,1,,,,,,0
,,,,,,,1
7,1,,,,1,,0
,1,,,,,,0
,,,,,,,0
6,2,7,16248028,5,,2,1
12,3,1,900000,7,,,1
,1,1,8000000,,,,0
27,2,2,57000000,5,,2,1
1,,1,,1,,,1
,,,,,,,0
,,,,,,,0
,,,,,,,0
,,,,,,,1
10,3,,,,,,0
,,,,,,,0
1,1,,,,,,0
,,2,1039355,1,,,1
,,,,,,,1
,,,,,,,1
15,3,5,18909999,2,,1,0
519,,,,,,,1
1,1,4,6500000,1,,1,0
,,,,,,,0
,,,,,,,0
,,,,,,,0
,,,,,,,1
,,,,,,,1
5,,3,8330000,3,,2,0
,,,,,,,0
,,2,327000,,,,0
5,,,,,,,0
,,,,,,,0
,,,,,,,0
48,1,2,1500000,2,,,0
,1,,,,,,0
,,,,,,,0
,,,,,,,0
,,,,,,,0
,,,,,,,1
,,,,,,,0
,,,,,,,0
,1,3,23432000,4,,1,0
5,1,1,,1,,,0
2,,,,,2,,1
,1,,,,,,0
1,,2,,4,,,0
,,,,,,,0
,,,,,1,,0
,,,,,,,1
,1,,,,,,0
8,,3,12700000,4,,2,0
,,,,,,,0
,1,,,,,,0
8,,,,,1,,0
6,,,,,,,1
10,,,,,,,0
1,,,,,,,0
,,,,,,,1
,,,,,,,0
1,,1,150000,,,,0
6,2,2,9000000,2,,1,1
165,1,,,,,,1
19,1,1,6600000,,,,1
,,,,,,,0
15,2,,,,,,0
33,,,,,,,1
,,,,,,,0
,1,,,,,,0
4,1,,,,,,1
,,,,,,,1
17,1,1,1500000,,,,0
,,,,,,,0
,1,,,,,,0
,1,,,,,,0
1,,,,,,,0
,1,,,,,,0
,2,,,,,,0
,1,,,,,,0
42,2,5,10575614,2,,1,0
16,1,,,,,,0
,1,6,84300012,3,,3,0
3,,,,,,,0
15,,2,55600000,4,,,0
2,,,,,,,0
,,,,,5,,1
,,,,,,,1
32,,,,,,,0
1,,,,,,,0
,,,,,,,0
,,,,,,,0
,1,,,,,,1
1,,,,,,,0
2,1,1,10000000,1,,1,1
1,,,,,,,1
11,,2,35800000,4,,,1
,,1,,,,,0
2,2,3,2000000,2,,1,1
,1,,,,,,0
,1,1,250000,,,,0
14,,,,,,,1
,,,,,,,0
,,,,,,,0
,,1,116667,,,,0
1,1,1,1100000,,,,0
,1,,,,,,0
6,,,,,1,,0
1,,,,,,,0
30,1,4,4650000,2,,,1
11,,,,,,,1
1,,,,,,,0
177,1,,,,7,,1
,1,1,5000000,1,,1,1
,,,,,,,0
367,2,5,86500000,15,,5,1
1,,,,,1,,1
,,,,,,,0
1,,1,3000000,,1,,1
105,4,3,35000000,4,1,,0
,1,,,,,,0
,,,,,,,0
5,,,,,,,1
,,,,,,,0
,1,,,,,,0
,1,1,13200000,1,,,1
,,,,,,,0
1,,,,,,,1
19,,,,,,,0
,,,,,,,0
,3,2,1500000,1,,,0
,,,,,,,0
3,,1,7000000,,,,0
,,3,28550000,3,,2,0
2,,,,,,,0
,,1,,1,,,0
,,,,,,,0
,,,,,1,,1
,,1,1797000,1,,,0
,,,,,,,0
,,1,,1,,,0
,,,,,,,0
,,2,6850000,,,,0
5,1,1,250000,1,,,0
2,,1,342186,,,,0
33,4,3,430000,4,,,1
,1,,,,,,0
4,,,,,,,1
,1,,,,,,0
17,3,2,,3,,1,0
,,,,,,,1
,2,,,,,,0
2,,1,30000000,2,,2,1
,,,,,,,0
9,,1,,1,,,0
46,1,,,,,,0
,,,,,,,0
,,,,,,,0
2,1,1,,2,,,0
1,,,,,,,0
3,1,4,26438098,2,1,1,0
5,,,,,,,0
17,1,3,95500000,7,,3,1
1,,1,3200000,3,,1,0
,1,2,,1,,,0
1,,1,1100000,4,,,0
6,2,3,13050000,6,,,0
1,,,,,1,,0
,1,1,1100000,1,,,0
1,,,,,,,1
14,,,,,,,0
,,,,,,,0
,2,,,,,,0
,,,,,,,0
,,,,,,,1
,,,,,,,0
,,,,,,,0
,,,,,,,0
6,2,3,89000000,3,,1,0
,,,,,,,0
,,,,,,,0
,,,,,,,1
,,,,,,,0
1,,,,,,,0
,,2,7100000,6,4,,0
,1,1,,1,1,1,1
,2,,,,,,0
7,1,,,,,,0
,,,,,1,,1
,,,,,,,0
1,,,,,1,,1
,1,2,12060000,,,,0
,1,,,,,,0
,,,,,,,0
9,,,,,,,0
16,2,,,,,,0
1,,,,,,,1
,1,1,,3,,,1
,,,,,,,0
5,1,1,40000000,1,,1,0
,,,,,,,0
,,,,,,,0
28,,,,,,,0
1,1,,,,,,1
2,1,5,27695412,5,,2,0
4,,,,,,,0
2,,2,2235000,,,,0
3,2,,,,,,0
1,,,,,,,0
10,1,,,,,,0
55,4,,,,5,,1
5,2,,,,1,,1
,1,,,,,,0
,,,,,,,0
,,,,,,,1
2,,,,,,,0
2,,,,,,,0
1,,,,,,,0
,3,,,,,,0
,,2,564000,1,,1,0
,2,,,,,,0
2,,,,,,,0
,,,,,,,0
,1,,,,,,0
5,1,,,,,,0
,,,,,,,1
32,,,,,,,0
,,2,2761139,,,,0
,,,,,,,0
,3,,,,,,1
,,,,,,,0
8,1,,,,1,,0
258,5,4,27063781,5,,3,1
,,,,,,,1
,,,,,,,0
,,,,,,,0
,,,,,,,1
,,,,,,,0
,,,,,,,0
,,,,,,,0
14,,,,,,,0
3,1,,,,,,0
129,,,,,,,0
,,,,,,,0
,,,,,,,0
,1,,,,,,0
5,1,,,,,,0
1,,,,,,,0
,,,,,,,0
,1,,,,,,0
1,,,,,,,0
,,,,,,,0
,,,,,,,0
1,,,,,,,0
2,,,,,,,0
,1,1,1400000,1,1,,0
15,6,,,,,,1
,,,,,,,0
2,1,1,,1,,1,1
13,2,1,5000000,2,,1,1
,1,,,,,,0
25,2,4,29100000,4,2,1,0
1,1,,,,,,0
,,,,,,,0
1,,,,,1,,1
,,,,,1,,0
13,1,,,,,,0
1,,,,,,,0
13,,,,,,,0
14,2,,,,,,0
12,1,2,,2,,,0
,,,,,,,1
,1,,,,,,1
,,1,410000,,,,0
,,,,,,,0
1,1,3,37000000,3,,3,0
,,,,,,,1
,,,,,,,0
,1,1,,1,,,0
,,,,,,,0
3,,,,,5,,0
2,,1,165000,,,,0
,,,,,,,1
80,3,,,,,,0
,,,,,,,1
,,,,,,,0
6,,1,750000,1,,1,0
,,,,,,,0
19,,,,,,,0
2,1,2,15200001,,,,1
53,1,,,,,,0
1,,,,,,,0
,,,,,,,0
1,,,,,,,1
2,2,4,7328230,2,,2,1
,,,,,,,1
,,1,17000,1,,,0
,2,,,,,,0
,1,,,,,,1
6,1,2,15000000,1,,,0
,,,,,,,1
,2,,,,,,0
,,,,,,,1
,,,,,,,0
,,,,,1,,1
1,,,,,,,0
97,,,,,,,0
,,,,,,,0
,,,,,,,1
,1,,,,,,0
10,1,6,104325400,8,,5,0
,1,,,,,,0
1,,1,,1,,,0
,,,,,,,0
,,1,,1,,,0
25,1,,,,,,0
,,,,,,,0
,,,,,1,,0
,2,2,1230400,1,,,0
511,1,5,16600000,13,,2,1
4,1,,,,,,0
,,,,,,,1
,1,,,,1,,0
12,1,,,,,,0
1,,,,,,,0
,,,,,,,0
31,3,1,,2,,,1
,,,,,,,0
5,1,2,16000000,3,,1,0
1,,,,,1,,1
28,,,,,8,,1
2,3,1,5000000,1,,1,1
,1,,,,,,0
82,,1,1000000,1,,1,0
3,,,,,,,0
,1,1,6983583,,,,0
3,,,,,1,,0
,1,,,,,,0
,,,,,,,0
,,1,,1,,,0
,,,,,,,0
,1,1,500000,,,,0
2,,,,,1,,0
3,,,,,1,,0
260,3,3,27300000,5,,3,1
1,,,,,1,,1
4,2,2,150000,2,,,0
1,,,,,,,1
,,4,12850012,,,,1
5,1,1,378286,,,,0
,,,,,,,0
26,1,1,,1,,,0
1,1,1,2500000,,,,0
16,2,,,,,,0
1,,,,,,,0
,1,,,,,,0
,,,,,,,0
18,,,,,,,0
,1,1,,2,,,1
,,,,,,,0
,,,,,,,0
14,3,1,1270000,1,,,1
4,1,,,,,,0
6,1,,,,,,0
470,2,5,68350000,9,,5,1
4,,,,,,,0
,,,,,,,0
,,,,,,,0
,,2,,1,,,0
,,3,12500000,4,,1,1
1,,1,500000,2,,,0
,,,,,,,0
,1,,,,,,0
87,2,1,4000000,1,,,1
,,,,,,,0
,,2,1450000,,,,1
,1,4,6523000,,,,0
2,2,1,5000000,1,,1,0
,,1,10000,,,,0
,1,2,,2,,,0
28,1,,,,,,0
22,2,5,3059921,,1,,1
13,2,6,41346439,5,,2,1
1,2,,,,,,0
2,,,,,,,0
,1,,,,,,0
,1,,,,,,0
,,,,,,,0
,,,,,,,0
,,,,,,,0
,,,,,,,1
1,,,,,,,0
,1,,,,,,0
,,,,,,,0
10,1,1,209000,,,,0
,,1,,1,,,0
4,1,8,15811500,5,,,0
,,2,1500000,,,,0
4,,,,,,,0
,,,,,1,,0
,1,,,,,,0
1,,,,,,,1
,,,,,,,0
21,2,6,41311900,4,,1,1
,,,,,,,1
,,,,,,,0
,,,,,,,0
3,1,6,2603430,,,,1
32,,,,,,,0
,,,,,,,1
6,,,,,,,0
1,1,,,,,,0
,1,,,,,,0
1,,,,,,,1
,,,,,,,0
,,,,,,,0
,,,,,,,0
2043,5,5,65000000,7,10,5,1
7,1,,,,,,1
214,1,6,59000000,6,,4,1
8,,1,5000000,2,,2,1
1,2,6,1460820,2,,,0
4,,1,7000000,1,,1,1
,,,,,1,,1
,,,,,,,0
,,,,,,,0
,1,,,,,,0
3,,,,,,,1
,,,,,,,0
1,4,2,,2,,1,0
,,,,,,,0
4,1,,,,,,0
,,,,,1,,0
,,1,100000,1,,1,0
,,,,,,,0
,,,,,,,1
7,1,,,,,,1
,,1,602082,,,,0
,,,,,1,,0
,,,,,,,1
184,1,,,,2,,0
7,,,,,1,,0
,,,,,,,0
17,,,,,,,0
1,,,,,,,1
,1,,,,,,0
,,,,,,,0
311,3,,,,,,1
,,,,,,,0
14,2,1,314169,1,,1,0
,,,,,1,,0
,,,,,,,0
,,,,,,,1
,,,,,,,1
,,,,,,,0
,,1,1000000,1,,1,0
,,,,,,,1
,,,,,,,0
9,1,7,5702907,3,,1,0
86,,,,,1,,1
,,,,,,,0
30,,,,,1,,1
,,,,,,,0
18,,,,,,,0
2,,4,470900,,,,0
4,1,2,6000000,4,,1,1
,2,,,,,,1
7,,,,,1,,1
,3,1,5000000,,,,0
,,,,,,,1
,,,,,,,0
,,,,,,,0
42,3,5,37000000,7,,6,0
,,,,,,,1
2,,,,,,,0
,2,,,,,,0
,,,,,,,1
,,,,,,,1
23,1,3,4800000,4,,2,0
146,1,1,250000,,,,1
,,,,,,,0
,,,,,,,0
,,,,,,,0
,3,,,,,,0
,,,,,,,0
,2,,,,,,0
,1,,,,,,0
,,,,,,,1
5,,,,,,,0
3,,1,1200000,,,,0
1,1,1,6000000,2,,2,0
,1,1,3686169,,,,0
,,,,,,,0
,,,,,,,1
,1,2,53999987,6,,3,0
1,,,,,,,1
,,,,,,,1
,,1,600000,,,,0
,,,,,,,0
,2,,,,,,0
,2,,,,,,0
8,2,,,,,,0
21,,,,,1,,1
,1,1,50000,,,,0
,1,,,,,,1
,,,,,,,0
,2,,,,,,0
1,,,,,2,,0
2,,,,,,,0
6,2,2,,1,,,0
,,,,,,,0
,2,,,,,,0
2,1,2,1070063,2,,,1
,,,,,,,0
,,,,,,,0
24,,1,27500000,1,,1,1
1,,,,,,,1
,1,,,,,,0
,,,,,,,1
7,,,,,,,0
18,1,,,,,,1
,,,,,,,1
,1,,,,,,0
,,,,,,,1
2,,,,,,,0
,,,,,,,0
,,,,,,,0
,,,,,,,0
5,,,,,,,1
,1,,,,,,0
5,2,4,15380514,,,,0
,2,2,3250000,1,,1,0
5,2,1,,1,,,0
115,3,5,37720000,5,,4,1
81,3,7,30800000,8,1,2,1
1,2,1,,2,,,0
645,,,,,,,0
16,2,3,4814998,3,,1,1
,1,,,,,,0
398,3,3,192500000,5,9,1,1
,,,,,,,1
,,,,,,,0
,1,,,,,,0
29,2,,,,1,,0
9,,,,,,,1
1,,,,,,,0
,,2,23800000,1,,1,0
16,2,,,,,,0
,,,,,,,0
,1,,,,,,0
,,,,,,,0
2,,,,,1,,0
,,,,,,,1
,,,,,,,0
,,,,,,,0
2,1,,,,,,0
75,2,2,61500000,5,1,2,0
,,,,,,,1
6,,,,,,,0
55,2,3,2000000,2,,,0
3,2,2,,3,,,0
5,,1,4700000,3,,,0
,,,,,,,0
11,2,,,,,,0
,,,,,,,1
,,,,,1,,1
2,,,,,,,0
1,2,1,10000000,,,,0
7,,,,,,,1
3,,1,4000000,1,,,0
2,,2,12000000,4,1,3,1
28,1,8,62750002,6,,2,0
3,,,,,,,0
3,2,,,,,,1
76,1,2,85000000,5,1,1,0
1,1,1,10000000,1,,1,0
119,2,8,78170310,7,1,3,1
1,,,,,,,0
,,,,,,,0
,,,,,,,0
,,,,,,,0
,,1,3000000,2,,,0
,,,,,,,0
,,1,300000,,,,0
,,1,3800000,,,,0
,,,,,,,0
2,1,6,13060025,1,,,1
,1,,,,,,0
,1,,,,,,0
4,,,,,1,,0
1,,,,,,,1
9,1,4,17400000,5,,3,1
,,,,,,,1
1,2,5,14500005,2,,1,0
11,2,2,40000000,5,,2,1
1,1,,,,,,0
,,,,,,,1
9,,,,,,,0
7,,1,6000000,4,,3,0
,,,,,,,0
,,,,,,,0
,,,,,,,1
1,,,,,,,1
,,1,60000,,,,0
,,,,,,,0
2,,,,,,,1
2,2,4,8815715,4,,,0
